booking_id,user_id,listing_id,location,country_code,checkin_date,checkout_date,price_per_night,guests,room_type,created_at,cancelled,currency
B1055,U725,L237,Barcelona,ESP,2/29/2024,3/11/2024,98.61,4,Private Room,1/23/2024,FALSE,Unknown
B1056,U349,L275,New York,USA,4/20/2023,5/3/2023,104.71,5,Private Room,3/23/2023,TRUE,US Dollar
B1057,U670,L327,San Francisco,USA,4/12/2024,4/15/2024,166.16,5,Shared Room,2/20/2024,FALSE,US Dollar
B1058,U873,L426,Amsterdam,NLD,5/31/2024,6/7/2024,276.71,4,Entire Home,4/7/2024,FALSE,Unknown
B1059,U560,L332,Berlin,DEU,10/14/2024,10/19/2024,244.42,4,Shared Room,8/25/2024,TRUE,Unknown
B1060,U381,L425,San Francisco,USA,12/31/2024,1/5/2025,117.93,3,Shared Room,12/15/2024,TRUE,US Dollar
B1061,U241,L277,Berlin,DEU,1/28/2024,2/9/2024,226.6,1,Private Room,1/18/2024,FALSE,Unknown
B1062,U438,L477,Barcelona,ESP,3/1/2024,3/2/2024,258.22,4,Shared Room,2/16/2024,TRUE,Unknown
B1063,U977,L494,Toronto,CAN,5/3/2024,5/4/2024,124.65,4,Private Room,4/10/2024,TRUE,Canadian Dollar
B1064,U599,L312,Tokyo,JPN,3/22/2024,3/30/2024,147.21,4,Shared Room,3/20/2024,TRUE,Yen
B1065,U960,L439,Paris,FRA,9/29/2024,10/8/2024,276.73,5,Shared Room,9/27/2024,TRUE,Unknown
B1066,U185,L419,Paris,FRA,4/17/2024,4/20/2024,115.04,3,Entire Home,4/13/2024,FALSE,Unknown
B1067,U434,L372,Toronto,CAN,10/12/2023,10/25/2023,155.39,1,Private Room,8/19/2023,TRUE,Canadian Dollar
B1068,U867,L476,New York,USA,12/25/2023,12/29/2023,67.15,1,Entire Home,11/13/2023,TRUE,US Dollar
B1069,U304,L210,Amsterdam,NLD,6/6/2023,6/10/2023,168.39,1,Shared Room,5/28/2023,TRUE,Unknown
B1070,U576,L331,Sydney,AUS,6/21/2023,7/1/2023,290.93,1,Entire Home,5/13/2023,FALSE,Australian Dollar
B1071,U210,L496,New York,USA,11/16/2023,11/26/2023,277.01,4,Private Room,10/3/2023,TRUE,US Dollar
B1072,U177,L324,San Francisco,USA,12/14/2024,12/27/2024,262.57,5,Entire Home,11/24/2024,TRUE,US Dollar
B1073,U455,L472,Toronto,CAN,11/8/2024,11/14/2024,176.49,3,Entire Home,11/3/2024,FALSE,Canadian Dollar
B1074,U942,L450,San Francisco,USA,3/19/2024,3/25/2024,272.89,4,Shared Room,2/7/2024,TRUE,US Dollar
B1075,U545,L290,Rome,ITA,10/28/2024,11/2/2024,252.05,5,Private Room,9/18/2024,FALSE,Unknown
B1076,U546,L337,Sydney,AUS,9/9/2023,9/23/2023,71.67,4,Entire Home,7/11/2023,FALSE,Australian Dollar
B1077,U683,L394,Sydney,AUS,1/30/2023,2/7/2023,131.25,4,Entire Home,12/6/2022,FALSE,Australian Dollar
B1078,U916,L332,Sydney,AUS,10/14/2023,10/24/2023,270.03,5,Entire Home,8/30/2023,TRUE,Australian Dollar
B1079,U187,L323,Toronto,CAN,5/15/2024,5/24/2024,110.08,4,Shared Room,3/27/2024,FALSE,Canadian Dollar
B1080,U558,L208,San Francisco,USA,10/29/2023,11/2/2023,222.95,3,Shared Room,10/3/2023,FALSE,US Dollar
B1081,U584,L483,Rome,ITA,12/19/2023,12/26/2023,187.6,3,Shared Room,11/1/2023,FALSE,Unknown
B1082,U377,L356,Tokyo,JPN,8/25/2023,8/27/2023,98.15,1,Shared Room,7/9/2023,TRUE,Yen
B1083,U296,L310,Barcelona,ESP,10/11/2023,10/23/2023,294.15,5,Shared Room,9/3/2023,FALSE,Unknown
B1084,U202,L299,Tokyo,JPN,8/21/2023,8/27/2023,125.57,5,Entire Home,8/9/2023,FALSE,Yen
B1085,U146,L227,Rome,ITA,10/27/2023,11/8/2023,209.47,4,Entire Home,10/18/2023,TRUE,Unknown
B1086,U687,L345,Barcelona,ESP,5/5/2024,5/13/2024,96.09,1,Private Room,4/13/2024,FALSE,Unknown
B1087,U216,L233,Toronto,CAN,5/18/2024,5/20/2024,207.36,1,Entire Home,4/11/2024,TRUE,Canadian Dollar
B1088,U930,L488,Tokyo,JPN,3/29/2023,4/2/2023,189.52,4,Shared Room,3/21/2023,TRUE,Yen
B1089,U894,L467,Toronto,CAN,4/6/2024,4/14/2024,265.04,4,Private Room,3/17/2024,TRUE,Canadian Dollar
B1090,U724,L250,Berlin,DEU,10/2/2024,10/6/2024,215.11,2,Entire Home,9/15/2024,TRUE,Unknown
B1091,U665,L238,Paris,FRA,1/3/2023,1/10/2023,222.34,4,Private Room,12/5/2022,TRUE,Unknown
B1092,U337,L347,Tokyo,JPN,12/20/2024,1/3/2025,67.79,2,Private Room,11/20/2024,TRUE,Yen
B1093,U535,L258,Rome,ITA,8/19/2023,8/30/2023,277.1,2,Entire Home,8/9/2023,TRUE,Unknown
B1094,U269,L357,Amsterdam,NLD,8/5/2024,8/10/2024,81.09,3,Shared Room,7/7/2024,FALSE,Unknown
B1095,U378,L456,Rome,ITA,5/20/2024,5/28/2024,199.51,4,Shared Room,5/14/2024,FALSE,Unknown
B1096,U718,L328,New York,USA,4/4/2023,4/8/2023,258.99,5,Shared Room,2/19/2023,TRUE,US Dollar
B1097,U883,L337,Amsterdam,NLD,2/11/2023,2/24/2023,93.8,5,Shared Room,12/24/2022,FALSE,Unknown
B1098,U384,L292,Amsterdam,NLD,3/22/2024,4/2/2024,172.93,1,Private Room,1/29/2024,FALSE,Unknown
B1099,U518,L370,Sydney,AUS,11/17/2024,11/19/2024,90.21,4,Shared Room,9/23/2024,FALSE,Australian Dollar
B1100,U395,L405,Rome,ITA,2/7/2023,2/15/2023,128.63,3,Entire Home,2/1/2023,FALSE,Unknown
B1101,U985,L463,New York,USA,11/4/2024,11/18/2024,165.49,1,Entire Home,9/30/2024,FALSE,US Dollar
B1102,U737,L455,Barcelona,ESP,2/22/2023,2/26/2023,187.3,3,Private Room,2/4/2023,FALSE,Unknown
B1103,U224,L214,Amsterdam,NLD,9/3/2023,9/15/2023,127.69,1,Shared Room,8/23/2023,FALSE,Unknown
B1104,U195,L315,San Francisco,USA,4/17/2024,4/19/2024,258.04,4,Shared Room,3/6/2024,FALSE,US Dollar
B1105,U621,L339,Toronto,CAN,5/9/2024,5/17/2024,164.2,2,Private Room,4/23/2024,TRUE,Canadian Dollar
B1106,U713,L460,Paris,FRA,3/13/2023,3/18/2023,247.5,4,Private Room,1/22/2023,FALSE,Unknown
B1107,U940,L201,Tokyo,JPN,11/2/2023,11/16/2023,194.98,4,Entire Home,9/25/2023,FALSE,Yen
B1108,U651,L447,Sydney,AUS,12/7/2023,12/16/2023,185.86,4,Private Room,10/19/2023,TRUE,Australian Dollar
B1109,U814,L322,Amsterdam,NLD,1/28/2024,2/1/2024,243.89,1,Private Room,12/4/2023,FALSE,Unknown
B1110,U822,L395,Toronto,CAN,11/10/2024,11/23/2024,213,2,Private Room,9/18/2024,TRUE,Canadian Dollar
B1111,U229,L457,Amsterdam,NLD,12/6/2023,12/20/2023,268.55,4,Entire Home,11/29/2023,FALSE,Unknown
B1112,U115,L273,Toronto,CAN,11/1/2024,11/4/2024,167.37,3,Private Room,10/27/2024,FALSE,Canadian Dollar
B1113,U765,L241,Sydney,AUS,11/21/2024,12/5/2024,145,3,Shared Room,10/17/2024,FALSE,Australian Dollar
B1114,U993,L477,New York,USA,9/24/2024,9/26/2024,207.79,3,Entire Home,9/8/2024,TRUE,US Dollar
B1115,U544,L250,San Francisco,USA,3/30/2024,4/2/2024,124.87,1,Entire Home,2/14/2024,FALSE,US Dollar
B1116,U915,L228,Tokyo,JPN,1/3/2024,1/9/2024,86.39,5,Private Room,12/6/2023,TRUE,Yen
B1117,U274,L289,San Francisco,USA,9/16/2024,9/30/2024,204.93,2,Private Room,8/22/2024,TRUE,US Dollar
B1118,U337,L436,Tokyo,JPN,4/15/2024,4/20/2024,52.35,4,Private Room,3/3/2024,TRUE,Yen
B1119,U175,L426,Sydney,AUS,8/24/2024,8/29/2024,290.51,3,Private Room,7/14/2024,FALSE,Australian Dollar
B1120,U303,L396,Barcelona,ESP,4/20/2023,4/24/2023,192.98,5,Private Room,3/26/2023,FALSE,Unknown
B1121,U122,L402,Tokyo,JPN,1/9/2023,1/19/2023,221.45,1,Shared Room,11/14/2022,FALSE,Yen
B1122,U952,L346,Berlin,DEU,9/13/2024,9/26/2024,104.75,2,Shared Room,8/21/2024,FALSE,Unknown
B1123,U794,L270,San Francisco,USA,10/4/2024,10/15/2024,127.23,4,Entire Home,10/1/2024,FALSE,US Dollar
B1124,U849,L267,San Francisco,USA,10/30/2023,11/5/2023,153.88,2,Entire Home,9/12/2023,FALSE,US Dollar
B1125,U643,L456,Tokyo,JPN,6/18/2023,6/23/2023,256.17,4,Private Room,4/20/2023,FALSE,Yen
B1126,U923,L258,Barcelona,ESP,3/19/2023,3/22/2023,291.63,4,Shared Room,1/29/2023,FALSE,Unknown
B1127,U192,L402,New York,USA,9/28/2023,10/7/2023,163.7,3,Shared Room,9/20/2023,FALSE,US Dollar
B1128,U942,L390,San Francisco,USA,11/22/2024,11/26/2024,56.26,5,Private Room,10/22/2024,TRUE,US Dollar
B1129,U763,L232,Barcelona,ESP,12/18/2024,12/23/2024,152.07,2,Entire Home,11/6/2024,TRUE,Unknown
B1130,U411,L452,San Francisco,USA,4/10/2023,4/14/2023,184.39,4,Private Room,2/12/2023,FALSE,US Dollar
B1131,U786,L476,Toronto,CAN,8/24/2024,9/5/2024,88.63,4,Shared Room,7/8/2024,TRUE,Canadian Dollar
B1132,U953,L450,Amsterdam,NLD,2/22/2024,2/27/2024,222.57,2,Private Room,2/19/2024,FALSE,Unknown
B1133,U341,L385,San Francisco,USA,12/3/2024,12/9/2024,275.42,3,Entire Home,10/29/2024,FALSE,US Dollar
B1134,U382,L297,San Francisco,USA,4/10/2024,4/12/2024,103.03,5,Entire Home,2/27/2024,TRUE,US Dollar
B1135,U905,L370,Berlin,DEU,5/9/2023,5/22/2023,101.3,5,Entire Home,4/2/2023,TRUE,Unknown
B1136,U932,L319,Sydney,AUS,6/1/2023,6/14/2023,199,3,Entire Home,4/4/2023,TRUE,Australian Dollar
B1137,U653,L328,Paris,FRA,4/23/2023,5/4/2023,56.45,1,Private Room,2/26/2023,TRUE,Unknown
B1138,U702,L365,New York,USA,6/28/2023,7/3/2023,81.69,4,Shared Room,6/24/2023,TRUE,US Dollar
B1139,U863,L232,Barcelona,ESP,4/4/2024,4/17/2024,178.31,1,Private Room,3/11/2024,TRUE,Unknown
B1140,U729,L222,Rome,ITA,11/5/2023,11/13/2023,291.01,1,Private Room,9/24/2023,FALSE,Unknown
B1141,U536,L255,Barcelona,ESP,12/30/2024,1/7/2025,274.82,3,Shared Room,12/25/2024,TRUE,Unknown
B1142,U167,L264,Tokyo,JPN,10/1/2024,10/12/2024,187.09,3,Private Room,8/24/2024,FALSE,Yen
B1143,U564,L458,Amsterdam,NLD,3/16/2024,3/18/2024,225.44,5,Shared Room,1/25/2024,TRUE,Unknown
B1144,U540,L431,Berlin,DEU,2/28/2024,3/5/2024,163.37,4,Shared Room,1/6/2024,TRUE,Unknown
B1145,U420,L418,Sydney,AUS,11/12/2024,11/17/2024,288.4,4,Entire Home,10/19/2024,TRUE,Australian Dollar
B1146,U951,L243,San Francisco,USA,3/18/2024,3/20/2024,234.7,2,Shared Room,1/30/2024,TRUE,US Dollar
B1147,U700,L487,Rome,ITA,12/4/2023,12/15/2023,152.7,4,Shared Room,11/26/2023,TRUE,Unknown
B1148,U394,L359,Sydney,AUS,4/17/2023,4/27/2023,103.18,4,Entire Home,3/15/2023,TRUE,Australian Dollar
B1149,U458,L484,Sydney,AUS,4/28/2023,5/11/2023,193.53,4,Shared Room,4/10/2023,TRUE,Australian Dollar
B1150,U723,L336,New York,USA,7/4/2023,7/9/2023,240.6,3,Private Room,5/20/2023,TRUE,US Dollar
B1151,U285,L273,Amsterdam,NLD,11/4/2024,11/11/2024,85.47,1,Entire Home,10/30/2024,TRUE,Unknown
B1152,U485,L414,Barcelona,ESP,12/16/2023,12/19/2023,127.91,3,Shared Room,11/22/2023,TRUE,Unknown
B1153,U153,L279,Paris,FRA,9/24/2024,9/25/2024,70.4,4,Shared Room,8/11/2024,FALSE,Unknown
B1154,U597,L426,Toronto,CAN,10/7/2023,10/11/2023,178.09,3,Private Room,8/19/2023,TRUE,Canadian Dollar
B1155,U390,L449,Rome,ITA,11/14/2024,11/19/2024,105.13,5,Entire Home,11/11/2024,TRUE,Unknown
B1156,U309,L354,Berlin,DEU,5/21/2023,6/3/2023,122.36,1,Entire Home,5/4/2023,FALSE,Unknown
B1157,U864,L420,Paris,FRA,5/13/2023,5/20/2023,225.92,5,Shared Room,4/8/2023,FALSE,Unknown
B1158,U173,L403,New York,USA,3/22/2024,3/23/2024,280.29,3,Shared Room,2/21/2024,FALSE,US Dollar
B1159,U687,L407,Toronto,CAN,10/24/2023,10/26/2023,55.21,3,Entire Home,9/28/2023,FALSE,Canadian Dollar
B1160,U951,L385,San Francisco,USA,3/23/2024,4/6/2024,110.83,5,Private Room,3/16/2024,TRUE,US Dollar
B1161,U505,L358,Sydney,AUS,8/15/2023,8/21/2023,92.03,5,Shared Room,6/26/2023,TRUE,Australian Dollar
B1162,U643,L461,Berlin,DEU,12/24/2023,12/30/2023,289.56,2,Entire Home,11/7/2023,TRUE,Unknown
B1163,U249,L331,Berlin,DEU,6/27/2023,7/7/2023,240.05,1,Entire Home,6/17/2023,FALSE,Unknown
B1164,U575,L488,Amsterdam,NLD,4/4/2024,4/15/2024,270.51,5,Private Room,2/4/2024,FALSE,Unknown
B1165,U254,L425,San Francisco,USA,4/25/2024,5/3/2024,125.71,3,Shared Room,3/15/2024,TRUE,US Dollar
B1166,U460,L459,San Francisco,USA,11/14/2023,11/22/2023,59.4,3,Private Room,10/16/2023,TRUE,US Dollar
B1167,U760,L246,Amsterdam,NLD,8/31/2024,9/9/2024,165.68,5,Shared Room,8/6/2024,TRUE,Unknown
B1168,U560,L492,Berlin,DEU,11/26/2023,12/6/2023,175.34,1,Private Room,10/26/2023,TRUE,Unknown
B1169,U930,L375,San Francisco,USA,5/31/2024,6/11/2024,59.79,4,Private Room,5/19/2024,TRUE,US Dollar
B1170,U472,L390,Tokyo,JPN,2/1/2024,2/8/2024,134.59,5,Entire Home,12/13/2023,FALSE,Yen
B1171,U167,L368,San Francisco,USA,7/25/2024,8/5/2024,121.04,5,Entire Home,6/30/2024,FALSE,US Dollar
B1172,U183,L498,Paris,FRA,12/25/2023,12/30/2023,224.62,4,Entire Home,11/13/2023,TRUE,Unknown
B1173,U417,L486,Toronto,CAN,10/20/2024,11/2/2024,253.3,5,Entire Home,9/28/2024,FALSE,Canadian Dollar
B1174,U620,L385,New York,USA,1/7/2024,1/12/2024,287.79,3,Private Room,12/26/2023,TRUE,US Dollar
B1175,U331,L270,Paris,FRA,3/21/2023,3/26/2023,247.03,5,Shared Room,1/25/2023,TRUE,Unknown
B1176,U777,L372,Amsterdam,NLD,5/15/2023,5/25/2023,88.56,2,Shared Room,4/20/2023,TRUE,Unknown
B1177,U838,L424,New York,USA,2/25/2024,3/2/2024,229.9,4,Shared Room,1/12/2024,FALSE,US Dollar
B1178,U870,L429,Berlin,DEU,6/30/2024,7/4/2024,291.4,4,Entire Home,6/10/2024,FALSE,Unknown
B1179,U794,L492,Barcelona,ESP,4/17/2024,4/30/2024,244.53,5,Shared Room,3/29/2024,FALSE,Unknown
B1180,U265,L302,Amsterdam,NLD,5/22/2023,6/5/2023,63.04,4,Private Room,5/5/2023,TRUE,Unknown
B1181,U828,L464,San Francisco,USA,10/19/2023,10/21/2023,90.08,4,Shared Room,8/31/2023,TRUE,US Dollar
B1182,U950,L423,San Francisco,USA,8/16/2023,8/30/2023,271.16,1,Private Room,7/18/2023,TRUE,US Dollar
B1183,U505,L457,Sydney,AUS,8/30/2023,9/6/2023,143.73,1,Private Room,8/24/2023,TRUE,Australian Dollar
B1184,U959,L371,Paris,FRA,5/21/2023,5/22/2023,279.35,4,Shared Room,5/2/2023,TRUE,Unknown
B1185,U877,L440,Barcelona,ESP,9/22/2024,9/23/2024,69.81,3,Entire Home,7/26/2024,TRUE,Unknown
B1186,U661,L470,Toronto,CAN,4/24/2023,5/7/2023,109.41,1,Entire Home,4/5/2023,TRUE,Canadian Dollar
B1187,U529,L434,San Francisco,USA,4/24/2023,5/8/2023,174.96,5,Entire Home,2/25/2023,TRUE,US Dollar
B1188,U835,L273,Tokyo,JPN,3/15/2024,3/16/2024,138.2,5,Private Room,2/4/2024,TRUE,Yen
B1189,U780,L243,Rome,ITA,1/5/2024,1/7/2024,186.02,5,Shared Room,12/2/2023,TRUE,Unknown
B1190,U499,L440,New York,USA,10/12/2024,10/19/2024,113.41,1,Private Room,9/18/2024,TRUE,US Dollar
B1191,U453,L323,San Francisco,USA,8/18/2024,8/30/2024,133.13,1,Private Room,6/30/2024,FALSE,US Dollar
B1192,U933,L289,Barcelona,ESP,12/13/2024,12/21/2024,95.57,2,Entire Home,11/2/2024,FALSE,Unknown
B1193,U137,L350,Berlin,DEU,2/14/2023,2/27/2023,271.45,3,Private Room,2/1/2023,FALSE,Unknown
B1194,U934,L478,Barcelona,ESP,9/17/2023,9/18/2023,211.73,3,Private Room,7/30/2023,TRUE,Unknown
B1195,U986,L369,Tokyo,JPN,5/8/2023,5/21/2023,159.24,4,Shared Room,4/14/2023,FALSE,Yen
B1196,U495,L373,Paris,FRA,5/23/2024,6/4/2024,141.84,5,Private Room,4/21/2024,TRUE,Unknown
B1197,U844,L417,San Francisco,USA,3/16/2024,3/26/2024,95.11,3,Private Room,1/23/2024,TRUE,US Dollar
B1198,U181,L367,Tokyo,JPN,11/10/2023,11/18/2023,229.42,2,Shared Room,10/2/2023,FALSE,Yen
B1199,U459,L428,New York,USA,12/28/2023,1/7/2024,118.64,1,Entire Home,11/30/2023,FALSE,US Dollar
B1200,U472,L462,Paris,FRA,2/1/2023,2/4/2023,201.89,4,Entire Home,12/8/2022,TRUE,Unknown
B1201,U168,L320,Sydney,AUS,1/6/2024,1/13/2024,58.1,2,Shared Room,11/30/2023,FALSE,Australian Dollar
B1202,U479,L390,Barcelona,ESP,3/20/2023,3/30/2023,182.36,4,Private Room,3/11/2023,FALSE,Unknown
B1203,U355,L258,New York,USA,7/10/2023,7/18/2023,146.75,5,Entire Home,6/6/2023,FALSE,US Dollar
B1204,U893,L333,Barcelona,ESP,8/8/2023,8/18/2023,223.5,4,Entire Home,7/20/2023,TRUE,Unknown
B1205,U238,L237,Barcelona,ESP,6/26/2023,7/8/2023,299.32,3,Shared Room,5/28/2023,FALSE,Unknown
B1206,U826,L233,Rome,ITA,7/9/2024,7/14/2024,124.99,2,Shared Room,5/12/2024,TRUE,Unknown
B1207,U912,L385,Rome,ITA,8/18/2023,8/20/2023,248.02,2,Private Room,8/5/2023,TRUE,Unknown
B1208,U469,L483,Amsterdam,NLD,1/13/2024,1/21/2024,295.75,2,Shared Room,11/22/2023,TRUE,Unknown
B1209,U167,L358,Toronto,CAN,5/5/2024,5/14/2024,242.29,5,Entire Home,4/8/2024,TRUE,Canadian Dollar
B1210,U424,L237,Barcelona,ESP,4/22/2024,5/3/2024,136.13,5,Shared Room,3/19/2024,TRUE,Unknown
B1211,U886,L266,Toronto,CAN,5/29/2024,6/12/2024,257.85,5,Entire Home,5/25/2024,FALSE,Canadian Dollar
B1212,U268,L282,Sydney,AUS,12/27/2024,12/31/2024,286.87,5,Private Room,12/4/2024,TRUE,Australian Dollar
B1213,U356,L300,Rome,ITA,10/9/2023,10/12/2023,125.71,5,Entire Home,8/29/2023,TRUE,Unknown
B1214,U706,L497,Paris,FRA,6/25/2023,7/6/2023,230.16,5,Private Room,5/16/2023,TRUE,Unknown
B1215,U945,L214,San Francisco,USA,2/16/2023,2/27/2023,194.19,2,Shared Room,12/28/2022,FALSE,US Dollar
B1216,U732,L215,Barcelona,ESP,10/4/2024,10/13/2024,210.48,3,Private Room,9/15/2024,TRUE,Unknown
B1217,U924,L407,Tokyo,JPN,4/9/2024,4/11/2024,64.98,4,Private Room,2/24/2024,FALSE,Yen
B1218,U575,L304,Sydney,AUS,9/13/2024,9/16/2024,265.37,3,Shared Room,8/23/2024,FALSE,Australian Dollar
B1219,U508,L266,Sydney,AUS,6/11/2024,6/20/2024,129.78,4,Entire Home,6/4/2024,FALSE,Australian Dollar
B1220,U560,L326,Paris,FRA,4/10/2023,4/11/2023,286.35,5,Private Room,3/22/2023,TRUE,Unknown
B1221,U986,L281,Sydney,AUS,8/14/2024,8/26/2024,97.46,2,Private Room,7/24/2024,FALSE,Australian Dollar
